Glottocode,flagging,indexing,tam-split,split-s,indexing-features,dom,dom-trigger,align-noun,align-pro,align-index,align-noun-nl,align-pro-nl,align-index-nl,ref-ergative,ref-ergative-domain,ref-tripartite,ref-tripartite-domain,ref-horizontal,ref-horizontal-domain,ref-sensitive,ref-sensitive-domain,coargument-sensitivity flagging,coargument-sensitivity indexing,S!=A flagging,S!=A indexing
moha1258,False,True,False,True,number;person;person+number;person+other,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
mola1238,True,True,False,False,person;person+number,True,Reference,accusative,no marking,accusative,accusative,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
mose1249,False,True,False,False,gender;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,no marking,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
movi1243,True,True,False,False,person,False,NA,no marking,sensitive,no marking,no marking,sensitive,no marking,False,NA,False,NA,True,Pro;Verb,True,Pro,yes,yes,True,True
mull1237,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
mund1330,True,True,True,True,person+number,False,NA,no marking,accusative,sensitive,no marking,accusative,accusative,True,Verb,True,Verb,False,NA,True,Verb,no,yes,False,True
muni1258,True,True,False,False,person;person+number,False,NA,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
murl1244,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
murr1258,True,True,False,False,person+number,False,NA,accusative;no marking,accusative;no marking,accusative,accusative;no marking,accusative;no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
muru1274,True,True,False,False,person+number,True,Miscellaneous_condition,accusative;no marking,accusative;no marking,accusative,accusative;no marking,accusative;no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
