"ID","Glottocode","Language","Forms","SG ~ PL","Meaning","Semantic_Category","Semantic_Subcategory","Bipartite_vs_Tripartite","Alternation_Type","Handling_Shape","Comment"
1,"akab1249","Akabea","ab-päre ~ tar-mâli","SG ~ PL","chastise","?",,"bipartite","suppletion","no",
2,"akab1249","Akabea","ar-baŋ ~ ar-baŋa","SG ~ PL","dig","?",,"bipartite","suppletion","no",
3,"alse1251","Alsea-Yaquina","wustiin ~ tians","SG ~ PL","agree","?",,"bipartite","suppletion","no",
4,"buru1296","Burushaski","-phús- ~ -phúša-","SG ~ PL","tie up","?",,"bipartite","regular",,
5,"buru1296","Burushaski","(-)híl- ~ (-)hílja-","SG ~ PL","soak","?",,"bipartite","regular",,
6,"buru1296","Burushaski","(ba)hált ~ (ba)hálča","SG ~ PL","wash","?",,"bipartite","regular",,
7,"buru1296","Burushaski","bú- ~ búya","SG ~ PL","dry","?",,"bipartite","regular",,
8,"buru1296","Burushaski","d ́-k(h)út ~ d ́-k(h)úča","SG ~ PL","lose weight","?",,"bipartite","regular",,
9,"buru1296","Burushaski","d-ší- ~ d-ša","SG ~ PL","stop","?",,"bipartite","regular",,"also refrain"
10,"buru1296","Burushaski","de-phérc ~ de-phérča (y); d ́--phérc ~ d ́-phérča (x)","SG ~ PL","remove/uproot","?",,"bipartite","regular",,
11,"buru1296","Burushaski","dórgin- ~ dórgia-","SG ~ PL","quarrel/argue","?",,"bipartite","regular",,
12,"buru1296","Burushaski","du-khát ~ du-kháča (y); d ́-khát ~ d ̊ -kháča (hx)","SG ~ PL","trouble oneself over something","?",,"bipartite","regular",,
13,"buru1296","Burushaski","du-pháq ~ du-pháqia-","SG ~ PL","card","?",,"bipartite","regular",,
14,"buru1296","Burushaski","ɣórc/ɣurc ~ ɣórča","SG ~ PL","sink","?",,"bipartite","regular",,
15,"buru1296","Burushaski","khúrut ~ khúruča","SG ~ PL","open (a box)","?",,"bipartite","regular",,
16,"buru1296","Burushaski","múrut ~ múruča","SG ~ PL","handle/stroke","?",,"bipartite","regular",,
17,"cadd1256","Caddo","ya'ah ~ yábah","SG ~ PL","be","?",,"bipartite","suppletion","no",
18,"cahu1264","Cahuilla","chút ~ chúshtan","INDIVIDUAL ~ COLLECTIVE","light a fire","?",,"bipartite","suppletion","no",
19,"coah1252","Coahuilteco","-amī ~ -am-ā¢-a","SG ~ PL","have","?",,"bipartite","suppletion","no","-ā¢- infix plus suppletion"
20,"coah1252","Coahuilteco","-hāwx(u) ~ -h-ā¢-awx(u)","SG ~ PL","be called","?",,"bipartite","regular",,"-ā¢- infix"
21,"coah1252","Coahuilteco","-hōy ~ -h-aw-āy","SG ~ PL","do","?",,"bipartite","suppletion","no","-wa/aw- infix plus suppletion; also make"
22,"coah1252","Coahuilteco","-kˀāw ~ xekˀ-ā¢-awam-ke","SG ~ PL","marry","?",,"bipartite","suppletion","no","-ā¢- infix plus -ke suffix plus suppletion"
23,"coah1252","Coahuilteco","-māko ~ -m-ak-āko","SG ~ PL","think","?",,"bipartite","regular",,"-ak- infix"
24,"coah1252","Coahuilteco","-pām ~ -ap-ak-ām","SG ~ PL","have a child, child","?",,"bipartite","regular",,"-ak- infix"
25,"coah1252","Coahuilteco","-šap'ān ~ -šap'ā-wa-no","SG ~ PL","good, cleanse","?",,"bipartite","regular",,"-wa/aw- infix"
26,"coah1252","Coahuilteco","-spāmo ~ -spā-wa-mō","SG ~ PL","believe","?",,"bipartite","regular",,"-wa/aw- infix"
27,"coah1252","Coahuilteco","-tāy ~ -t-aw-āy","SG ~ PL","mother","?",,"bipartite","regular",,"-wa/aw- infix"
28,"coah1252","Coahuilteco","-xawū ~ x-ak-ōymo","SG ~ PL","be joined","?",,"bipartite","suppletion","no","-ak- infix plus suppletion"
29,"coah1252","Coahuilteco","-xāy ~ -x-ak-āy","SG ~ PL","end","?",,"bipartite","regular",,"-ak- infix"
30,"coah1252","Coahuilteco","-xō ~ -x-ā¢-o","SG ~ PL","know","?",,"bipartite","regular",,"-ā¢- infix"
31,"coah1252","Coahuilteco","? ~ k-ā¢-owō","SG ~ PL","pay for","?",,"bipartite","regular",,"-ā¢- infix"
32,"coah1252","Coahuilteco","? ~ k'm-āk-ōx(sāwx)","SG ~ PL","kneel","?",,"bipartite","regular",,"-ak- infix"
33,"coah1252","Coahuilteco","? ~ s(?)k'-ā¢-āwxt'am","SG ~ PL","dream","?",,"bipartite","regular",,"-ā¢- infix"
34,"coah1252","Coahuilteco","p'ānmam ~ p'ā-ke-nmam","SG ~ PL","pass (time)","?",,"bipartite","regular",,"-ke- infix"
35,"coma1245","Comanche","anitʉ ~ aanearʉ","SG ~ PL","give up exhausted","?",,"bipartite","suppletion","no","also die in an accident"
36,"coma1245","Comanche","haakarʉ ~ hakaakarʉ","SG ~ PL","find room for","?",,"bipartite","regular",,"reduplication"
37,"coma1245","Comanche","hanitʉ ~ hanikatʉ","SG ~ PL","fix","?",,"bipartite","regular",,"infixation; also do, repair"
38,"coma1245","Comanche","kuʔnikakʉrʉ ~ kuwekwakʉrʉ (object)","SG ~ PL","rope someone","?",,"bipartite","suppletion","no","specifically while moving (lasso)"
39,"coma1245","Comanche","kʉhkwitsitʉ ~ kʉhtoroki","SG ~ PL","grit teeth","?",,"bipartite","suppletion","no","also clack the teeth"
40,"coma1245","Comanche","nohitekwarʉ ~ kaasuarʉ","SG ~ PL","intend to deceive or cheat","?",,"bipartite","suppletion","no","also pretend, kid around"
41,"coma1245","Comanche","pihkarʉ ~ pipikutʉ","SG ~ PL","drum","?",,"bipartite","suppletion","no","also ring a bell"
42,"coma1245","Comanche","tsahturerʉ ~ tsahtunetsʉtʉ","SG ~ PL","stretch","?",,"bipartite","suppletion","no","also pull with full strength"
43,"coma1245","Comanche","tʉbinarʉ (sg object) ~ tʉrʉbinitu (pl object)","SG ~ PL","question someone","?",,"bipartite","regular",,"reduplication"
44,"cree1270","Creek","a-kaɬp-itá ~ a-kaɬkap-íta","SG ~ PL","dry up (of a creek, etc)","?",,"bipartite","regular",,"C1V1 reduplication"
45,"cree1270","Creek","a-ló.fk-i: ~ a-lo:flok-i: (‘smeared on in more than one place’)","SG ~ PL","smeared on","?",,"bipartite","regular",,"C1V1 reduplication"
46,"cree1270","Creek","anataks-itá ~ anatasnak-íta","SG ~ PL","look up","?",,"bipartite","regular",,"C1V1 reduplication"
47,"cree1270","Creek","nika:tt-itá ~ nika:tni:y-itá","SG ~ PL","nod once","?",,"bipartite","regular",,"C1V1 reduplication"
48,"cree1270","Creek","som-iceyc-itá ~ som-hoy-c-itá","SG ~ PL","lose somebody","?",,"bipartite","regular",,"ho(y)/ic insertion"
49,"cree1270","Creek","som-k-itá ~ som-ho-k-itá ~ som-ic-itá","SG ~ DU ~ PL","be lost","?",,"tripartite","regular",,"ho(y)/ic insertion"
50,"cree1270","Creek","teyy-itá ~ tey-hoy-íta","SG ~ PL","ache","?",,"bipartite","regular",,"ho(y)/ic insertion"
51,"daga1275","Daga","wabor ~ bor","SG ~ PL","close","?",,"bipartite","regular",,"there is an unknown number of additional verbs that take these plural prefixes"
52,"gavi1246","Gavião Do Jiparaná","mága ~ mákiì","SG ~ PL","make","?",,"bipartite","suppletion","no",
53,"gras1249","Grass Koiari","voi(nu) ~ vahei","SG ~ PL","become/be","?",,"bipartite","suppletion","no",
54,"guah1255","Guahibo","küta ~ küba","SG ~ PL","tie","?",,"bipartite","regular",,"ta ~ ba (attacher), but also semelfactive  ~ iterative, and perfective ~ imperfective (queixalos1998sikuani:162)"
55,"guah1255","Guahibo","mataya-ta ~ mataya-ba","SG ~ PL","hide someone","?",,"bipartite","regular",,"ta ~ ba (cacher)"
56,"guah1255","Guahibo","nakopa-ta ~ nakopa-ba","SG ~ PL","be too much","?",,"bipartite","regular",,"ta ~ ba (être en trop)"
57,"guah1255","Guahibo","namatoakota ~ namatakoba","SG ~ PL","incorporate (MID)","?",,"bipartite","regular",,"ta ~ ba (s'incorporer), but also semelfactive  ~ iterative, and perfective ~ imperfective (queixalos1998sikuani:162)"
58,"guah1255","Guahibo","xena-ta ~ xena-ba","SG ~ PL","exceed","?",,"bipartite","regular",,"ta ~ ba (dépasser, outrepasser)"
59,"coos1249","Hanis","ītsēm ~ ne'tsī","SG ~ PL","do","?",,"bipartite","suppletion","no",
60,"hopi1249","Hopi","ngaaha ~ ngángàata, ngángàyta","SG ~ PL","untie","?",,"bipartite","regular",,
61,"hopi1249","Hopi","ööyi ~ öö’öya","SG ~ PL","become satiated","?",,"bipartite","regular",,
62,"hopi1249","Hopi","soma ~ sòmta","SG ~ PL","tie","?",,"bipartite","regular",,
63,"hopi1249","Hopi","tuku ~ maawi","SG ~ PL","harvest/pick from a tree","?",,"bipartite","suppletion","no",
64,"hopi1249","Hopi","yuku ~ yukùuta","SG ~ PL","fix","?",,"bipartite","regular",,
65,"hopi1249","Hopi","yuwsi ~ yuuyaha","SG ~ PL","dress","?",,"bipartite","suppletion","no","dress for a formal occasion"
66,"huas1242","Huastec","puwey ~ pakey","SG ~ PL","grow","?",,"bipartite","suppletion","no",
67,"imon1245","Imonda","hõnõ ~ pueg","SG ~ PL","make netbag","?",,"bipartite","suppletion","no",
68,"imon1245","Imonda","kuaksõ ~ kuaksõ-uõl","SG ~ PL","cough","?",,"bipartite","regular",,
69,"imon1245","Imonda","lõhõ ~ lëfaha","SG ~ PL","not like","?",,"bipartite","suppletion","no","May be related to 'stand'"
70,"imon1245","Imonda","nugahõ ~ nugathõ ~ nug","SG ~ DU ~ MANY","fill in","?",,"tripartite","suppletion","no",
71,"iran1263","Irántxe-Münkü","? ~ kijaka","SG ~ PL","have","?",,"bipartite","regular",,
72,"kett1243","Ket","?-qut ~ ?-damin","SG ~ PL","be tied up","?",,"bipartite","regular",,"0 ~ d"
73,"kett1243","Ket","bit- ~ biɾeŋ-","SG ~ PL","strengthen","?",,"bipartite","regular",,"0 ~ n/ŋ"
74,"kett1243","Ket","əqa-qut ~ əqa-damin","SG ~ PL","be visible","?",,"bipartite","regular",,"0 ~ d"
75,"kett1243","Ket","k-qan ~ k-(k)sit-n","SG ~ PL","become","?",,"bipartite","suppletion","no",
76,"kett1243","Ket","sitej/q-t ~ sitej/q-a","SG ~ PL","wake up","?",,"bipartite","suppletion","no",
77,"kett1243","Ket","t-oŋ ~ t-ok-in","SG ~ PL","need","?",,"bipartite","suppletion","no",
78,"koas1236","Koasati","anó:kan ~ anó-s-kan","SG ~ PL","finish","?",,"bipartite","regular",,"-s- infix"
79,"koas1236","Koasati","anó:lin ~ anó-s-lin","SG ~ PL","finish (aux)","?",,"bipartite","regular",,"-s- infix"
80,"koas1236","Koasati","falammí:cin ~ fal-kóh-kan","SG ~ PL","awaken somebody","?",,"bipartite","regular",,"infixed extension; possibly derived from 'wake up' but the morphology is unclear"
81,"koas1236","Koasati","falánkan ~ fal-kóh-kan","SG ~ PL","wake up","?",,"bipartite","regular",,"infixed extension"
82,"koas1236","Koasati","fáylin ~ fay-áh-lin","SG ~ PL","quit","?",,"bipartite","regular",,"infixed extension"
83,"koas1236","Koasati","filánkan ~ fil-kóh-kan","SG ~ PL","diverge","?",,"bipartite","regular",,"infexed extension; also appears to derive a verb 'turn aside' with prefix a-"
84,"koas1236","Koasati","Iofá-p-ii-n ~ lof-fí-:ci-n","SG ~ PL","take a lengthwise chip off","?",,"bipartite","regular",,"-ci suffix"
85,"koas1236","Koasati","maká:lin ~ maká-s-lin","SG ~ PL","open the eyes","?",,"bipartite","regular",,"-s- infix"
86,"koas1236","Koasati","nakáłłan ~ wasátkan","SG ~ PL","be lost","?",,"bipartite","suppletion","no",
87,"koas1236","Koasati","nisá-f-fi-n ~ nis-li-:ci-n","SG ~ PL","take a small chip off","?",,"bipartite","regular",,"-ci suffix"
88,"koas1236","Koasati","watá:lin ~ watá-s-lin","SG ~ PL","wear a necklace","?",,"bipartite","regular",,"-s- infix"
89,"kuna1268","Kunama","ufe ~ ulufe","SG ~ PL","wash (oneself)","?",,"bipartite","regular",,"-lV-"
90,"kwaz1243","Kwaza","a'sa- ~ (u?)u'ja-","SG ~ PL","end","?",,"bipartite","suppletion","no","also leave, terminate, obliterate"
91,"kwaz1243","Kwaza","esa'hỹ-kuty- ~ tsādy-kuty-","SG ~ PL","sting on head","?",,"bipartite","suppletion","no",
92,"laal1242","Laal","àny ~ ɨ̀ny","SG ~ PL","wait for","?",,"bipartite","regular",,"a > ɨ / i"
93,"laal1242","Laal","buàŋ ~ bòŋ","SG ~ PL","resemble","?",,"bipartite","regular",,"ua / o"
94,"laal1242","Laal","buāŋ ~ bòŋ","SG ~ PL","grow","?",,"bipartite","regular",,"M / L[-low, +round]"
95,"laal1242","Laal","ɓáán ~ ɓɨ́ɨ́n","SG ~ PL","share","?",,"bipartite","regular",,"a > ɨ / i"
96,"laal1242","Laal","ɗùrúg ~ ɗùrgɨ̀ny, ɗùrgì","SG ~ PL","rot, be rotten","?",,"bipartite","regular",,"0 / -iny ~ -i"
97,"laal1242","Laal","gààr ~ gɨ̀ɨ̀r","SG ~ PL","sweep, scratch","?",,"bipartite","regular",,"a > ɨ / i"
98,"laal1242","Laal","gág ~ gɨ́g","SG ~ PL","argue, doubt","?",,"bipartite","regular",,"a > ɨ / i"
99,"laal1242","Laal","gàn ~ gɨ̀n","SG ~ PL","take ball from pot to serve","?",,"bipartite","regular",,"a > ɨ / i"
100,"laal1242","Laal","ká ~ kí","SG ~ PL","do","?",,"bipartite","regular",,"a > ɨ / i; the form of 'do' and 'give' vary only in a subset of derived forms"
101,"laal1242","Laal","ká ~ kí","SG ~ PL","give","?",,"bipartite","regular",,"a > ɨ / i; the form of 'do' and 'give' vary only in a subset of derived forms"
102,"laal1242","Laal","kááw ~ kɨ́ɨ́w","SG ~ PL","make","?",,"bipartite","regular",,"a > ɨ / i"
103,"laal1242","Laal","kál ~ kɨ́l","SG ~ PL","practice divination","?",,"bipartite","regular",,"a > ɨ / i"
104,"laal1242","Laal","kány ~ kɨ́ny","SG ~ PL","untie","?",,"bipartite","regular",,"a > ɨ / i"
105,"laal1242","Laal","kuām ~ kōm","SG ~ PL","laugh","?",,"bipartite","regular",,"uā / ō"
106,"laal1242","Laal","kuár ~ kór","SG ~ PL","have sex with","?",,"bipartite","regular",,"low to mid vowel"
107,"laal1242","Laal","láám ~ lɨ́ɨ́m","SG ~ PL","suck","?",,"bipartite","regular",,"a > ɨ / i"
108,"laal1242","Laal","lāg ~ lɨ̄g","SG ~ PL","braid","?",,"bipartite","regular",,"a > ɨ / i"
109,"laal1242","Laal","máá(r) ~ mɨ́ɨ́(r)","SG ~ PL","press, knead","?",,"bipartite","regular",,"a > ɨ / i"
110,"laal1242","Laal","nāb ~ nɨ̄b","SG ~ PL","smoke (food)","?",,"bipartite","regular",,"a > ɨ / i"
111,"laal1242","Laal","nàŋ ~ nɨ̀ŋ","SG ~ PL","sharpen","?",,"bipartite","regular",,"a > ɨ / i"
112,"laal1242","Laal","nyām ~ nyɨ̄m","SG ~ PL","weave, braid","?",,"bipartite","regular",,"a > ɨ / i"
113,"laal1242","Laal","nyāŋ ~ nyɨ̄ŋ","SG ~ PL","marry","?",,"bipartite","regular",,"a > ɨ / i"
114,"laal1242","Laal","páár ~ pɨ́ɨ́r","SG ~ PL","knead in liquid","?",,"bipartite","regular",,"a > ɨ / i"
115,"laal1242","Laal","pāl ~ pɨ̄l","SG ~ PL","refuse","?",,"bipartite","regular",,"a > ɨ / i"
116,"laal1242","Laal","tāār ~ tɨ̄ɨ̄r","SG ~ PL","hunt","?",,"bipartite","regular",,"a > ɨ / i"
117,"laal1242","Laal","tám ~ tɨ́m","SG ~ PL","kindle (fire)","?",,"bipartite","regular",,"a > ɨ / i"
118,"laal1242","Laal","tuáár ~ tóór","SG ~ PL","agree","?",,"bipartite","regular",,"low to mid vowel"
119,"laal1242","Laal","túrá ~ túrɨ̀ny, túrì (intr.)","SG ~ PL","be lost","?",,"bipartite","regular",,"-a / -iny ~ -i"
120,"laal1242","Laal","wóóró ~ wóórɨ́ny, wóórí","SG ~ PL","cook","?",,"bipartite","regular",,"0 > -i"
121,"laal1242","Laal","wúlá ~ wúlɨ̀ny, wúlì","SG ~ PL","finish, end","?",,"bipartite","regular",,"-a / -iny ~ -i"
122,"nucl1622","Marind","bakeh ~ ɣok","SG ~ PL","plant coconut","?",,"bipartite","suppletion","no",
123,"nucl1622","Marind","kaguh ~ ewah","SG ~ PL","give birth to","?",,"bipartite","suppletion","no",
124,"nucl1622","Marind","katmetok ~ mamed","SG ~ PL","father (a child)","?",,"bipartite","suppletion","no",
125,"nucl1622","Marind","win ~ in","SG ~ PL","become","?",,"bipartite","suppletion","no",
126,"madi1260","Maʼdi","tɨ̀ ~ gɓà","SG ~ PL","pick leaf(ves)","?",,"bipartite","suppletion","no",
127,"mull1237","Mullukmulluk","larap ~ lararp","SG ~ PL","bind","?",,"bipartite","regular",,
128,"mull1237","Mullukmulluk","niwat ~ niwarat","SG ~ PL","name","?",,"bipartite","regular",,"also mention"
129,"mull1237","Mullukmulluk","tat ~ tarat","SG ~ PL","find","?",,"bipartite","regular",,
130,"mull1237","Mullukmulluk","tik ~ tirik","SG ~ PL","grow up","?",,"bipartite","regular",,
131,"mull1237","Mullukmulluk","tut ~ turut","SG ~ PL","cause","?",,"bipartite","regular",,
132,"mull1237","Mullukmulluk","tʸɛnʸ ~ tʸɛnʸenʸ","SG ~ PL","make","?",,"bipartite","regular",,
133,"mull1237","Mullukmulluk","yařp ~ yařarp","SG ~ PL","rub","?",,"bipartite","regular",,
134,"murr1258","Murriny Patha","ɖu ~ ɖɖu","SG ~ PL","impel","?",,"bipartite","regular",,
135,"murr1258","Murriny Patha","la ~ lla","SG ~ PL","wipe","?",,"bipartite","regular",,
136,"murr1258","Murriny Patha","na ~ nna","SG ~ PL","use fire","?",,"bipartite","regular",,
137,"murr1258","Murriny Patha","nu ~ nnu","SG ~ PL","use feet","?",,"bipartite","regular",,
138,"nisg1240","Nisgaʼa","m̓ás ~ límqs","SG ~ PL","grow","?",,"bipartite","suppletion","no",
139,"nort2954","Northern Paiute","-kwonao ~ -wonitao","SG ~ PL","open","?",,"bipartite","suppletion","no",
140,"nuuc1236","Nuu-chah-nulth","č̓aapaciił ~ č̓aapaciiłʕaqa","INDIVIDUAL ~ COLLECTIVE","make a boat","?",,"bipartite","regular",,"-!aqa"
141,"nuuc1236","Nuu-chah-nulth","č̓iics ~ č̓iicsʕaqa","INDIVIDUAL ~ COLLECTIVE","troll/fish","?",,"bipartite","regular",,"-!aqa"
142,"nuuc1236","Nuu-chah-nulth","haaʕin ~ haahaaʕinyu","INDIVIDUAL ~ COLLECTIVE","invite","?",,"bipartite","regular",,"-RL.yu"
143,"nuuc1236","Nuu-chah-nulth","mamuuk ~ mamuuʕaqa","INDIVIDUAL ~ COLLECTIVE","work","?",,"bipartite","regular",,"-!aqa"
144,"nuuc1236","Nuu-chah-nulth","pisatuk ~ pisat̓aqa","INDIVIDUAL ~ COLLECTIVE","play","?",,"bipartite","regular",,"-!aqa"
145,"otta1242","Ottawa","X-have ~ X.RED-have","SG ~ PL","have X","?",,"bipartite","regular",,"The morphophonology of this language is difficult to parse and examples are unglossed."
146,"shas1239","Shasta","i·m·a ~ ayk","SG ~ PL","hunt, dig, mine","?",,"bipartite","suppletion","no",
147,"juho1239","South-Eastern Ju","g!xa ~ šwe","SG ~ PL","take off","?",,"bipartite","suppletion","no","only examples with clothing"
148,"juho1239","South-Eastern Ju","ǂ'wã ~ kheu","SG ~ PL","pick","?",,"bipartite","suppletion","no",
149,"juho1239","South-Eastern Ju","ǂhwe ~ tswa̯","SG ~ PL","uproot","?",,"bipartite","suppletion","no",
150,"nucl1649","Southern Coastal Tsimshian","gaksk ~ liwdsk","SG ~ PL","wake up","?",,"bipartite","suppletion","no",
151,"nucl1649","Southern Coastal Tsimshian","gyimł ~ siguunaks","SG ~ PL","wipe","?",,"bipartite","suppletion","no",
152,"nucl1649","Southern Coastal Tsimshian","p’axs (maybe p'as) ~ maxs","SG ~ PL","grow","?",,"bipartite","suppletion","no","also develop"
153,"nucl1649","Southern Coastal Tsimshian","waa ~ uust","SG ~ PL","name","?",,"bipartite","suppletion","no",
154,"sulk1246","Sulka","kong ~ kung","SG ~ PL","dig","?",,"bipartite","suppletion","no",
155,"sulk1246","Sulka","mat ~ mrut","SG ~ PL","cook","?",,"bipartite","suppletion","no","@DI: destruction?"
156,"tabo1241","Tabo","ape ~ apepeho","SG ~ PL","grow","?",,"bipartite","suppletion","no",
157,"ticu1245","Ticuna","go̊ ~ yì","SG ~ PL","grow","?",,"bipartite","suppletion","no","also sprout"
158,"wari1268","Wari","hwap, hap ~ hwarahwap, harahap","SG ~ PL","do quickly","?",,"bipartite","regular",,"-rV(CV)- infixation"
159,"wari1268","Wari","kep ~ kekep / kekekep","SG ~ PL","catch, touch","?",,"bipartite","regular",,"CV(CV)- reduplciation"
160,"wari1268","Wari","toron ~ totoron","SG ~ PL","moan","?",,"bipartite","regular",,"CV(CV)- reduplciation"
161,"wari1268","Wari","wan ~ wawawan","SG ~ PL","have sex","?",,"bipartite","regular",,"CV(CV)- reduplciation"
162,"wari1268","Wari","xak ~ xaxaxak","SG ~ PL","suck fruit","?",,"bipartite","regular",,"CV(CV)- reduplciation"
163,"wari1268","Wari","xope ~ xoto","SG ~ PL","be stuck","?",,"bipartite","suppletion","no",
164,"west2632","Western Keres","-'áyawaaN ~ (dual suffix) ~ -'aʔíẓawaaN","SG ~ DU ~ PL","be lost","?",,"tripartite","suppletion","no",
165,"west2632","Western Keres","-'ítûuníM ~ -áʔítûuníM ~ -QáatuuníM","SG ~ DU ~ PL","grow","?",,"tripartite","suppletion","no",
166,"west2632","Western Keres","-'iẓáačúwaN(M) ~ -aiẓáačúwaN(M) ~ -'a̓aẓáačúwaN(M)","SG ~ DU ~ PL","wake up","?",,"tripartite","suppletion","no",
167,"west2632","Western Keres","-'jíìnáwe̓etu0 ~ -qáináwe̓etu0 ~ (REG)","SG ~ DU ~ PL","grow old","?",,"tripartite","suppletion","no",
168,"west2632","Western Keres","-'jína̓uda0{N} ~ -qáina̓uda0{N} ~ -qjéena̓udi","SG ~ DU ~ PL","finish","?",,"tripartite","suppletion","no",
169,"west2632","Western Keres","-àat̓ùwiiY ~ (REG) ~ -qáat̓úwiiY-ʔVVD","SG ~ DU ~ PL","release","?",,"tripartite","suppletion","no",
170,"west2632","Western Keres","-aʔáčəB ~ -âaʔáčəB ~ -jeʔéčəB","SG ~ DU ~ PL","be enclosed","?",,"tripartite","suppletion","no",
171,"west2632","Western Keres","-ə́əč̓áiʔm ~ -qáič̓áim ~ -qjéeč̓áiʔm-iiD","SG ~ DU ~ PL","eyes to be closed","?",,"tripartite","suppletion","no",
172,"west2632","Western Keres","-jíisdyaB(SD) ~ -qa̓isdyaB(SD) ~ -qje̓esdyaB(SD)-eeD","SG ~ DU ~ PL","nurse","?",,"tripartite","suppletion","no",
173,"west2632","Western Keres","-jíiy̓âadyuwiiY ~ -qáaiy̓âadyuwiiY ~ -qáaiy̓âadyuwi-mišiiD","SG ~ DU ~ PL","be first","?",,"tripartite","suppletion","no",
174,"west2632","Western Keres","-jišiyaW ~ (REG) ~ -âašiyaW-aaD","SG ~ DU ~ PL","win","?",,"tripartite","suppletion","no",
175,"west2632","Western Keres","-jíya̓aN ~ -qáiya̓aN ~ -a̓idya̓aN","SG ~ DU ~ PL","be born","?",,"tripartite","suppletion","no",
176,"west2632","Western Keres","-Júyáaska ~ (REG) ~ -âiya̓aska","SG ~ DU ~ PL","spend the night","?",,"tripartite","suppletion","no",
177,"west2632","Western Keres","-Juy̓âin̓aW ~ (REG) ~ -úwádyâin̓aW","SG ~ DU ~ PL","find","?",,"tripartite","suppletion","no",
178,"west2632","Western Keres","-JúyawaaN ~ (REG) ~ -aʔíẓawaaN","SG ~ DU ~ PL","lose","?",,"tripartite","suppletion","no",
179,"west2632","Western Keres","-Júyu̓ugaiY ~ -âaʔayuugaiY ~ -a̓iẓu̓ugaiY","SG ~ DU ~ PL","tend","?",,"tripartite","suppletion","no","This may be related to 'take'"
180,"west2632","Western Keres","-Júyûuk̓amiṢ ~ -âaʔayuuk̓amiṢ ~ -âiẓûuk̓amiṢ","SG ~ DU ~ PL","wait for","?",,"tripartite","suppletion","no","This may be related to 'take'"
181,"west2632","Western Keres","-qâaʔaʔa ~ -aʔâaʔa ~ -qa̓ac̓isi","SG ~ DU ~ PL","have it closed","?",,"tripartite","suppletion","no",
182,"west2632","Western Keres","-qagáyaM ~ -aagáyaM ~ -âagayaN-iiD","SG ~ DU ~ PL","be stuck","?",,"tripartite","suppletion","no",
183,"west2632","Western Keres","-qáweeʔeṢ ~ (REG) ~ -âiweeʔeṢ-iiD","SG ~ DU ~ PL","have luck","?",,"tripartite","suppletion","no",
184,"west2632","Western Keres","-u:níM ~ (REG) ~ -âiẓuuníM","SG ~ DU ~ PL","know","?",,"tripartite","suppletion","no",
185,"west2632","Western Keres","-û:sú ~ (REG) ~ -ûuʔusa","SG ~ DU ~ PL","know how","?",,"tripartite","suppletion","no",
186,"wich1260","Wichita","ʔarasi ~ wa:rani","SG ~ PL","cook","?",,"bipartite","suppletion","no",
187,"wich1260","Wichita","ʔi ~ ʔiki","SG ~ PL","be","?",,"bipartite","suppletion","no","only examples seem to be with adjectival predication"
188,"yana1271","Yana","miilabʔ ~ piilabʔ","SG ~ PL","awaken","?",,"bipartite","suppletion","no",
189,"yana1271","Yana","peega...ʔa ~ pedga","SG ~ PL","snore","?",,"bipartite","regular",,
190,"yura1255","Yuracaré","sheta ~ sheshe","? ~ ?","be lost","?",,"bipartite","regular",,
191,"gras1249","Grass Koiari","dehe ~ devorei","SG ~ PL","defecate","bodily excretion",,"bipartite","suppletion","no",
192,"gras1249","Grass Koiari","veu(vana) ~ vorei(na)","SG ~ PL","urinate","bodily excretion",,"bipartite","suppletion","no",
193,"imon1245","Imonda","nuhõ ~ nuhõ-uõl","SG ~ PL","vomit","bodily excretion",,"bipartite","regular",,
194,"laal1242","Laal","yǖsā ~ yǖs","SG ~ PL","have diarrhea","bodily excretion",,"bipartite","regular",,"-a / 0"
195,"tabo1241","Tabo","a:hiya ~ a:hiyaha","SG ~ PL","sneeze","bodily excretion",,"bipartite","regular",,"-ha suffix"
196,"djam1255","Jaminjung-Ngaliwurru","jarr ~ jurrb","SG ~ PL","be put down, be left in a place","caused location",,"bipartite","suppletion","no","Coverbs, look like bipartite stems. Waiting for Eva to get back to us on the presence of more than 1 pair."
197,"nucl1622","Marind","ɣakeh ~ lemeh","SG ~ PL","catch","caused location",,"bipartite","suppletion","no",
198,"laal1242","Laal","jááb ~ jɨ́ɨ́b","SG ~ PL","gather","caused location",,"bipartite","regular",,"a > ɨ / i"
199,"kwaz1243","Kwaza","tsje- ~ tsi-tsje","SG ~ PL","grab","caused location",,"bipartite","regular",,
200,"laal1242","Laal","káb ~ kɨ́b","SG ~ PL","grab","caused location",,"bipartite","regular",,"a > ɨ / i"
201,"mull1237","Mullukmulluk","tap ~ tarap","SG ~ PL","grab","caused location",,"bipartite","regular",,
202,"uppe1439","Upper Chehalis","kʷaná- ~ x̣ími-","SG ~ PL","grab","caused location",,"bipartite","suppletion","no",
203,"nucl1622","Marind","han ~ yahanid","SG ~ PL","grasp horizontal item","caused location",,"bipartite","suppletion","yes",
204,"nucl1622","Marind","bik ~ bituk","SG ~ PL","grasp vertical item","caused location",,"bipartite","suppletion","yes",
205,"imon1245","Imonda","uluh ~ lëfah","SG ~ PL","hold","caused location",,"bipartite","suppletion","no",
206,"djam1255","Jaminjung-Ngaliwurru","garrb ~ durd","SG ~ PL","hold","caused location",,"bipartite","suppletion","no",
