Glottocode,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,sufficient_data_flagging,sufficient_data_indexing,Comment
awac1239,Awa-Cuaiquer,South America,1.21652,-78.3401,kwi,Barbacoan,True,True,
eyak1241,Eyak,North America,60.4232,-144.762,eya,Athabaskan-Eyak-Tlingit,True,True,
sout2750,Southern Yukaghir,Eurasia,64.218,154.375,yux,Yukaghir,True,True,
tehu1242,Tehuelche,South America,-47.5796,-68.3235,teh,Chonan,True,True,
cavi1250,Cavineña,South America,-13.3544,-66.6277,cav,Pano-Tacanan,True,True,
naka1260,Nakara,Australia,-12.07653,134.32729,nck,Maningrida,True,True,
yecu1235,Yecuatla Totonac,North America,20.1765,-96.8741,tlc,Totonacan,True,True,
hueh1236,Huehuetla Tepehua,North America,20.6189,-97.9347,tee,Totonacan,True,True,
yima1243,Yimas,Papunesia,-4.71731,143.572,yee,Lower Sepik,True,True,
sana1298,Sanapaná,South America,-22.49,-58.38,spn,Lengua-Mascoy,True,True,
itel1242,West Itelmen,Eurasia,56.046173,156.30704,itl,Chukotko-Kamchatkan,True,True,
chuk1273,Chukchi,Eurasia,68.6436,170.045,ckt,Chukotko-Kamchatkan,True,True,"Chukchi has many paradigms which vary a little bit one to the other, and may affect alignment slightly. Rather than coding all of the complex paradigms, we picked a representative one based on the exemplar case and coded for it (NFUT/NEU)."
jama1261,Madi,South America,-7.62223,-66.5662,jaa,Arawan,True,True,no pronoun is used for 3sg S/A/P
ayor1240,Ayoreo,South America,-19.220055,-60.217495,ayo,Zamucoan,True,True,
wyan1247,Huron-Wyandot,North America,44.33,-77.5,wya,Iroquoian,True,False,no pronouns are used for S/A/P; for indexing Onondaga is coded instead
abkh1244,Abkhaz,Eurasia,43.056218,41.159115,abk,Abkhaz-Adyge,True,True,
ariz1237,Arizona Tewa,North America,35.836667,-110.381389,,Kiowa-Tanoan,True,True,
