Glottocode,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,sufficient_data_flagging,sufficient_data_indexing,Comment
pila1245,Pilagá,South America,-25.0058,-60.1537,plg,Guaicuruan,True,True,
sout2985,Southern Sierra Miwok,North America,38.2363,-120.507,skd,Miwok-Costanoan,True,True,
thay1249,Thayore,Australia,-14.8159,142.034,thd,Pama-Nyungan,True,True,
toho1245,Tohono O'odham,North America,31.7973,-111.995,ood,Uto-Aztecan,True,True,
coma1245,Comanche,North America,34.0,-101.0,com,Uto-Aztecan,True,True,
nort2954,Northern Paiute,North America,40.0799,-119.536,pao,Uto-Aztecan,True,True,
negi1245,Negidal,Eurasia,52.96584,139.20575,neg,Tungusic,True,True,
halk1245,Halkomelem,North America,49.250402,-122.443668,hur,Salishan,True,True,
uppe1439,Upper Chehalis,North America,46.7981,-123.169,cjh,Salishan,True,True,
nama1264,Nama (Namibia),Africa,-25.0747,17.9767,naq,Khoe-Kwadi,True,True,
kala1399,Kalaallisut,North America,69.3761,-52.864,kal,Eskimo-Aleut,True,True,
apur1254,Apurinã,South America,-8.21692,-66.7714,apu,Arawakan,True,True,
miam1252,Miami,North America,40.0,-90.0,mia,Algic,True,False,description insufficient to produce a report for indexing
kash1280,Kashaya,North America,38.5424,-123.08,kju,Pomoan,True,True,
cube1242,Cubeo,South America,1.32382,-70.1939,cub,Tucanoan,True,True,
yano1262,Yanomám,South America,2.48999,-62.8522,wca,Yanomamic,True,True,
yaum1237,Yau-Nungon,Papunesia,-6.08274,146.841,yuw,Nuclear Trans New Guinea,True,True,
nene1249,Tundra Nenets,Eurasia,66.1775,71.0234,yrk,Uralic,True,True,
maba1277,Maba (Chad),Africa,12.89147,20.8889,mde,Maban,True,True,
imba1240,Imbabura Highland Quichua,South America,0.31776,-78.3729,qvi,Quechuan,True,True,
sant1432,Santiago del Estero Quichua,South America,-27.821,-63.2466,qus,Quechuan,True,True,
nort2980,North Junín Quechua,South America,-11.2132,-75.8128,qvn,Quechuan,True,True,
hual1241,Huallaga Huánuco Quechua,South America,-9.57135,-75.594,qub,Quechuan,True,True,
lako1248,Lakondê,South America,-13.2,-60.5,lkd,Nambiquaran,True,True,
nort1550,Taos Northern Tiwa,North America,36.4277,-105.604,twf,Kiowa-Tanoan,True,True,
maxa1247,Maxakalí,South America,-16.9402,-40.7891,mbl,Nuclear-Macro-Je,True,True,
mari1440,Maricopa,North America,33.5123,-111.749,mrc,Cochimi-Yuman,True,True,
saki1248,Mekens,South America,-13.054,-62.0927,skf,Tupian,True,True,
buki1249,Bukiyip,Papunesia,-3.47169,143.111,ape,Nuclear Torricelli,True,True,
wari1268,Wari',South America,-10.69948,-64.56152,pav,Chapacuran,True,True,
mart1255,Martuthunira,Australia,-20.9294,116.607,vma,Pama-Nyungan,True,True,
cahu1264,Cahuilla,North America,33.5324,-116.691,chl,Uto-Aztecan,True,True,
miya1260,Miyako-Jima,Eurasia,24.7564,125.363,,Japonic,True,True,
gari1256,Garifuna,North America,15.3529,-86.9091,cab,Arawakan,True,True,
tari1256,Tariana,South America,0.440205,-68.9042,tae,Arawakan,True,True,
wapi1253,Wapishana,South America,2.58744,-59.8021,wap,Arawakan,True,True,
trin1274,Trinitario-Javeriano-Loretano,South America,-15.3331,-65.4096,trn,Arawakan,True,True,
