CodeID,ParameterID,Description,icons
unaccusative_SgPl-16,SgPl-16,unaccusative,#016acb
unergative_SgPl-16,SgPl-16,unergative,#e63636
both_SgPl-16,SgPl-16,both,#9a4667
NA_SgPl-16,SgPl-16,NA,
?_SgPl-16,SgPl-16,?,
yes_SgPl-16a,SgPl-16a,yes,#016acb
no_SgPl-16a,SgPl-16a,no,#a1a1a1
NA_SgPl-16a,SgPl-16a,NA,
?_SgPl-16a,SgPl-16a,?,
yes_SgPl-16b,SgPl-16b,yes,#016acb
no_SgPl-16b,SgPl-16b,no,#a1a1a1
NA_SgPl-16b,SgPl-16b,NA,
?_SgPl-16b,SgPl-16b,?,
a_SgPl-17,SgPl-17,a,#016acb
p_SgPl-17,SgPl-17,p,#e63636
either_SgPl-17,SgPl-17,either,#b15091
both_SgPl-17,SgPl-17,both,#fac92d
NA_SgPl-17,SgPl-17,NA,
?_SgPl-17,SgPl-17,?,
sg-pl_SgPl-18,SgPl-18,sg-pl,#f4cd16
paucal-many_SgPl-18,SgPl-18,paucal-many,#016acb
individual-collective_SgPl-18,SgPl-18,individual-collective,#7ea455
sg-du-pl_SgPl-18,SgPl-18,sg-du-pl,#e63636
sg-paucal-pl_SgPl-18,SgPl-18,sg-paucal-pl,#b15091
NA_SgPl-18,SgPl-18,NA,
?_SgPl-18,SgPl-18,?,
yes_SgPl-18a,SgPl-18a,yes,#016acb
no_SgPl-18a,SgPl-18a,no,#a1a1a1
NA_SgPl-18a,SgPl-18a,NA,
?_SgPl-18a,SgPl-18a,?,
yes_SgPl-19,SgPl-19,yes,#016acb
no_SgPl-19,SgPl-19,no,#a1a1a1
?_SgPl-19,SgPl-19,?,
yes_SgPl-20,SgPl-20,yes,#016acb
no_SgPl-20,SgPl-20,no,#a1a1a1
NA_SgPl-20,SgPl-20,NA,
?_SgPl-20,SgPl-20,?,
yes_SgPl-21,SgPl-21,yes,#016acb
property-concept-verbs_SgPl-21,SgPl-21,in property concept verbs only,#69a4db
no_SgPl-21,SgPl-21,no,#a1a1a1
NA_SgPl-21,SgPl-21,NA,
?_SgPl-21,SgPl-21,?,
yes_SocCaus-01,SocCaus-01,yes,#016acb
no_SocCaus-01,SocCaus-01,no,#a1a1a1
?_SocCaus-01,SocCaus-01,?,
morpheme_SocCaus-02,SocCaus-02,morpheme,#016acb
special-causee_SocCaus-02,SocCaus-02,special causee,#e63636
caus-and-appl_SocCaus-02,SocCaus-02,caus-and-appl,#f4cd16
dir-and-indir-caus_SocCaus-02,SocCaus-02,dir-and-indir-caus,#7ea455
caus-and-other_SocCaus-02,SocCaus-02,caus-and-other,#b15091
NA_SocCaus-02,SocCaus-02,NA,
?_SocCaus-02,SocCaus-02,?,
joint-action_SocCaus-03,SocCaus-03,joint action,#016acb
assistive_SocCaus-03,SocCaus-03,assistive,#f4cd16
supervision_SocCaus-03,SocCaus-03,supervision,#f74f74
NA_SocCaus-03,SocCaus-03,NA,
?_SocCaus-03,SocCaus-03,?,
motion_SocCaus-04,SocCaus-04,motion,#016acb
non-motion_SocCaus-04,SocCaus-04,non-motion,#e63636
both_SocCaus-04,SocCaus-04,both,#9a4667
NA_SocCaus-04,SocCaus-04,NA,
?_SocCaus-04,SocCaus-04,?,
intransitive_SocCaus-05,SocCaus-05,intransitive,#016acb
transitive_SocCaus-05,SocCaus-05,transitive,#e63636
both_SocCaus-05,SocCaus-05,both,#9a4667
NA_SocCaus-05,SocCaus-05,NA,
?_SocCaus-05,SocCaus-05,?,
animate_SocCaus-06,SocCaus-06,animate,#016acb
inanimate_SocCaus-06,SocCaus-06,inanimate,#e63636
both_SocCaus-06,SocCaus-06,both,#9a4667
NA_SocCaus-06,SocCaus-06,NA,
?_SocCaus-06,SocCaus-06,?,
_SocCaus-07,SocCaus-07,,#226ed3
dir-caus_SocCaus-07,SocCaus-07,dir-caus,#f6ce0d
indir-caus_SocCaus-07,SocCaus-07,indir-caus,#1ca07e
rec_SocCaus-07,SocCaus-07,rec,#1cfd0d
appl_SocCaus-07,SocCaus-07,appl,#d52e2a
copart_SocCaus-07,SocCaus-07,copart,#533d6c
other_SocCaus-07,SocCaus-07,other,#dd35aa
?_SocCaus-07,SocCaus-07,?,
1_Syll-01,Syll-01,1,#000080
2_Syll-01,Syll-01,2,#001f95
3_Syll-01,Syll-01,3,#003faa
4_Syll-01,Syll-01,4,#005fbf
5_Syll-01,Syll-01,5,#007fd4
7_Syll-01,Syll-01,7,#009fe9
8_Syll-01,Syll-01,8,#00bfff
?_Syll-01,Syll-01,?,
0_Syll-02,Syll-02,0,#000080
1_Syll-02,Syll-02,1,#002699
2_Syll-02,Syll-02,2,#004cb2
3_Syll-02,Syll-02,3,#0072cc
4_Syll-02,Syll-02,4,#0098e5
5_Syll-02,Syll-02,5,#00bfff
?_Syll-02,Syll-02,?,
1_Syll-03,Syll-03,1,#000080
2_Syll-03,Syll-03,2,#0045ae
3_Syll-03,Syll-03,3,#0056b9
4_Syll-03,Syll-03,4,#0068c5
5_Syll-03,Syll-03,5,#0079d0
6_Syll-03,Syll-03,6,#008adc
7_Syll-03,Syll-03,7,#009ce7
8_Syll-03,Syll-03,8,#00adf3
9_Syll-03,Syll-03,9,#00bfff
10_Syll-03,Syll-03,10,#00118b
12_Syll-03,Syll-03,12,#002297
13_Syll-03,Syll-03,13,#0034a2
?_Syll-03,Syll-03,?,
s_Syll-04,Syll-04,simple,#fcc7c7
mc_Syll-04,Syll-04,moderately complex,#e4858c
c_Syll-04,Syll-04,complex,#cb4351
hc_Syll-04,Syll-04,highly complex,#b30116
?_Syll-04,Syll-04,?,
c_Syll-05,Syll-05,C,#fcc7c7
cg_Syll-05,Syll-05,CG,#e1646f
ccplus_Syll-05,Syll-05,CCplus,#c60017
?_Syll-05,Syll-05,?,
nocoda_Syll-06,Syll-06,nocoda,#a1a1a1
sonorant_Syll-06,Syll-06,sonorant,#fcc7c7
simple_Syll-06,Syll-06,simple,#e1646f
complex_Syll-06,Syll-06,complex,#c60017
?_Syll-06,Syll-06,?,
yes_ToneProm-01,ToneProm-01,yes,#016acb
no_ToneProm-01,ToneProm-01,no,#a1a1a1
?_ToneProm-01,ToneProm-01,?,
contrastive_ToneProm-01a,ToneProm-01a,contrastive,#016acb
non-contrastive_ToneProm-01a,ToneProm-01a,non-contrastive,#e63636
NA_ToneProm-01a,ToneProm-01a,NA,
?_ToneProm-01a,ToneProm-01a,?,
amplitude_ToneProm-02,ToneProm-02,amplitude,#0070d2
duration_ToneProm-02,ToneProm-02,duration,#16a383
amplitude-duration_ToneProm-02,ToneProm-02,amplitude & duration,#df3b35
pitch_ToneProm-02,ToneProm-02,pitch,#0dfe0d
amplitude-pitch_ToneProm-02,ToneProm-02,amplitude & pitch,#ecc500
duration-pitch_ToneProm-02,ToneProm-02,duration & pitch,#de35a9
amplitude-duration-pitch_ToneProm-02,ToneProm-02,amplitude & duration & pitch,#5a406c
NA_ToneProm-02,ToneProm-02,NA,
?_ToneProm-02,ToneProm-02,?,
amplitude_ToneProm-02a,ToneProm-02a,amplitude,#016acb
pitch_ToneProm-02a,ToneProm-02a,pitch,#f4cd16
duration_ToneProm-02a,ToneProm-02a,duration,#f74f74
NA_ToneProm-02a,ToneProm-02a,NA,
?_ToneProm-02a,ToneProm-02a,?,
yes_ToneProm-03,ToneProm-03,yes,#016acb
no_ToneProm-03,ToneProm-03,no,#a1a1a1
NA_ToneProm-03,ToneProm-03,NA,
?_ToneProm-03,ToneProm-03,?,
contrastive_ToneProm-04,ToneProm-04,contrastive,#016acb
non-contrastive_ToneProm-04,ToneProm-04,non-contrastive,#e63636
NA_ToneProm-04,ToneProm-04,NA,
?_ToneProm-04,ToneProm-04,?,
yes_ToneProm-05,ToneProm-05,yes,#016acb
no_ToneProm-05,ToneProm-05,no,#a1a1a1
NA_ToneProm-05,ToneProm-05,NA,
?_ToneProm-05,ToneProm-05,?,
contrastive_ToneProm-06,ToneProm-06,contrastive,#016acb
non-contrastive_ToneProm-06,ToneProm-06,non-contrastive,#e63636
NA_ToneProm-06,ToneProm-06,NA,
?_ToneProm-06,ToneProm-06,?,
yes_ToneProm-07,ToneProm-07,yes,#016acb
no_ToneProm-07,ToneProm-07,no,#a1a1a1
NA_ToneProm-07,ToneProm-07,NA,
?_ToneProm-07,ToneProm-07,?,
contrastive_ToneProm-08,ToneProm-08,contrastive,#016acb
non-contrastive_ToneProm-08,ToneProm-08,non-contrastive,#e63636
NA_ToneProm-08,ToneProm-08,NA,
?_ToneProm-08,ToneProm-08,?,
yes_ToneProm-09,ToneProm-09,yes,#016acb
no_ToneProm-09,ToneProm-09,no,#a1a1a1
?_ToneProm-09,ToneProm-09,?,
yes_ToneProm-09a,ToneProm-09a,yes,#016acb
no_ToneProm-09a,ToneProm-09a,no,#a1a1a1
?_ToneProm-09a,ToneProm-09a,?,
yes_ToneProm-09b,ToneProm-09b,yes,#016acb
no_ToneProm-09b,ToneProm-09b,no,#a1a1a1
?_ToneProm-09b,ToneProm-09b,?,
lexical_ToneProm-10,ToneProm-10,lexical,#016acb
grammatical_ToneProm-10,ToneProm-10,grammatical,#e63636
both_ToneProm-10,ToneProm-10,both,#9a4667
NA_ToneProm-10,ToneProm-10,NA,
?_ToneProm-10,ToneProm-10,?,
2_ToneProm-11,ToneProm-11,2,#000080
3_ToneProm-11,ToneProm-11,3,#002f9f
4_ToneProm-11,ToneProm-11,4,#005fbf
6_ToneProm-11,ToneProm-11,6,#008fdf
8_ToneProm-11,ToneProm-11,8,#00bfff
NA_ToneProm-11,ToneProm-11,NA,
?_ToneProm-11,ToneProm-11,?,
2_ToneProm-11a,ToneProm-11a,2,#016acb
more-than-2_ToneProm-11a,ToneProm-11a,more than 2,#e03a3a
NA_ToneProm-11a,ToneProm-11a,NA,
?_ToneProm-11a,ToneProm-11a,?,
up-to-3_ToneProm-11b,ToneProm-11b,up to 3,#e03a3a
more-than-3_ToneProm-11b,ToneProm-11b,more than 3,#016acb
NA_ToneProm-11b,ToneProm-11b,NA,
?_ToneProm-11b,ToneProm-11b,?,
up-to-4_ToneProm-11c,ToneProm-11c,up to 4,#e03a3a
more-than-4_ToneProm-11c,ToneProm-11c,more than 4,#016acb
NA_ToneProm-11c,ToneProm-11c,NA,
?_ToneProm-11c,ToneProm-11c,?,
yes_ToneProm-12,ToneProm-12,yes,#016acb
no_ToneProm-12,ToneProm-12,no,#a1a1a1
NA_ToneProm-12,ToneProm-12,NA,
?_ToneProm-12,ToneProm-12,?,
yes_VelUv-01,VelUv-01,yes,#016acb
no_VelUv-01,VelUv-01,no,#a1a1a1
?_VelUv-01,VelUv-01,?,
yes_VelUv-01a,VelUv-01a,yes,#016acb
no_VelUv-01a,VelUv-01a,no,#a1a1a1
?_VelUv-01a,VelUv-01a,?,
yes_VelUv-02,VelUv-02,yes,#016acb
no_VelUv-02,VelUv-02,no,#a1a1a1
?_VelUv-02,VelUv-02,?,
yes_VelUv-02a,VelUv-02a,yes,#016acb
no_VelUv-02a,VelUv-02a,no,#a1a1a1
NA_VelUv-02a,VelUv-02a,NA,
?_VelUv-02a,VelUv-02a,?,
no-dominant-order_WO-01,WO-01,no dominant order,#166dce
svo_WO-01,WO-01,SVO,#3dfb00
sov_WO-01,WO-01,SOV,#e23daf
vso_WO-01,WO-01,VSO,#bbee80
ovs_WO-01,WO-01,OVS,#f3cb1c
osv_WO-01,WO-01,OSV,#e94542
vos_WO-01,WO-01,VOS,#16dafb
v-first_WO-01,WO-01,V-first,#c70dfa
v-last_WO-01,WO-01,V-last,#ffb6b6
s-last_WO-01,WO-01,S-last,#2a9f7d
other_WO-01,WO-01,other,#5a3b6c
?_WO-01,WO-01,?,
yes_WO-01a,WO-01a,yes,#016acb
no_WO-01a,WO-01a,no,#e63636
?_WO-01a,WO-01a,?,
S>V_WO-01b,WO-01b,S>V,#016acb
V>S_WO-01b,WO-01b,V>S,#e63636
NA_WO-01b,WO-01b,NA,
?_WO-01b,WO-01b,?,
S>O_WO-01c,WO-01c,S>O,#016acb
O>S_WO-01c,WO-01c,O>S,#e63636
NA_WO-01c,WO-01c,NA,
?_WO-01c,WO-01c,?,
V>O_WO-01d,WO-01d,V>O,#016acb
O>V_WO-01d,WO-01d,O>V,#e63636
NA_WO-01d,WO-01d,NA,
?_WO-01d,WO-01d,?,
no-dominant-order_WO-01e,WO-01e,no dominant order,#a1a1a1
s-first_WO-01e,WO-01e,S-first,#016acb
v-first_WO-01e,WO-01e,V-first,#f4cd16
o-first_WO-01e,WO-01e,O-first,#f74f74
?_WO-01e,WO-01e,?,
svo_WO-01f,WO-01f,SVO,#016acb
sov_WO-01f,WO-01f,SOV,#e63636
NA_WO-01f,WO-01f,NA,
?_WO-01f,WO-01f,?,
vso_WO-01g,WO-01g,VSO,#016acb
vos_WO-01g,WO-01g,VOS,#e63636
NA_WO-01g,WO-01g,NA,
?_WO-01g,WO-01g,?,
ovs_WO-01h,WO-01h,OVS,#016acb
osv_WO-01h,WO-01h,OSV,#e63636
NA_WO-01h,WO-01h,NA,
?_WO-01h,WO-01h,?,
attr-n_WO-02,WO-02,Attr-N,#016acb
n-attr_WO-02,WO-02,N-Attr,#e63636
no-dominant-order_WO-02,WO-02,no dominant order,#9a4667
NA_WO-02,WO-02,NA,
?_WO-02,WO-02,?,
pssr-pssd_WO-03,WO-03,PSSR-PSSD,#016acb
pssd-pssr_WO-03,WO-03,PSSD-PSSR,#e63636
no-dominant-order_WO-03,WO-03,no dominant order,#9a4667
NA_WO-03,WO-03,NA,
?_WO-03,WO-03,?,
