ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
abkh1244-a-marking-indexing-marker,abkh1244,indexing marker,A marking,overt,person+number,hewitt1979abkhaz[101-103],AN,NONE,any,NONE,ergative
abkh1244-no-flagging,abkh1244,flagging,NO_FLAGGING,zero,,hewitt1979abkhaz[101],AN,any,any,any,neutral
abkh1244-s-p-marking-indexing-marker,abkh1244,indexing marker,S/P marking,overt,person+number,hewitt1979abkhaz[101-103],AN,any,NONE,any,ergative
abun1252-no-flagging,abun1252,flagging,NO_FLAGGING,zero,,berry1999abun[153],AWM,any,any,any,neutral
abun1252-role-not-marked,abun1252,indexing trigger,ROLE_NOT_MARKED,zero,NA,berry1999abun[25-26],MV; DI; AWM,NONE,NONE,NONE,NA
achu1247-ei-3dus-a-indexing-marker,achu1247,indexing marker,ei- 3duS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,3du,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg,NONE,accusative
achu1247-gidz-2nsgs-a-indexing-marker,achu1247,indexing marker,gìdz- 2nsgS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,2du;2pl,2du_1du.excl;2du_1pl.excl;2du_1sg;2du_3du;2du_3pl;2du_3sg;2pl_1du.excl;2pl_1pl.excl;2pl_1sg;2pl_3du;2pl_3pl;2pl_3sg,NONE,accusative
achu1247-h-1nsgs-a-indexing-marker,achu1247,indexing marker,h- 1nsgS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,1du.excl;1du.incl;1pl.excl;1pl.incl,1du.excl_2du;1du.excl_2pl;1du.excl_2sg;1du.excl_3du;1du.excl_3pl;1du.excl_3sg;1du.incl_3du;1du.incl_3pl;1du.incl_3sg;1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1pl.incl_3du;1pl.incl_3pl;1pl.incl_3sg;1sg_2sg,2sg_1sg,neutral
achu1247-k-2sg-s-a-p-indexing-marker,achu1247,indexing marker,k- 2sg.S/A/P,overt,person+number,deangulo1930achumawi[89],AN;AWM,2sg,2sg_1du.excl;2sg_1pl.excl;2sg_1sg;2sg_3du;2sg_3pl;2sg_3sg,2sg_3sg,neutral
achu1247-ma-2pls-a-and-1pl-incl-s-a-indexing-marker,achu1247,indexing marker,-má 2plS/A and 1pl.incl.S/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,1pl.excl;1pl.incl;2pl,1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1pl.incl_3du;1pl.incl_3pl;1pl.incl_3sg;2pl_1du.excl;2pl_1pl.excl;2pl_1sg;2pl_3du;2pl_3pl;2pl_3sg,1sg_3sg,neutral
achu1247-no-flagging,achu1247,flagging,NO_FLAGGING,zero,,deangulo1930achumawi[83-84],AN,any,any,any,neutral
achu1247-nom-marking-flagging,achu1247,flagging,NOM marking,overt,,deangulo1930achumawi[83-84],AN,any,any,NONE,accusative
achu1247-s-1excls-a-p-indexing-marker,achu1247,indexing marker,s- 1exclS/A/P,overt,person+number,deangulo1930achumawi[89],AN;AWM,1du.excl;1pl.excl;1sg,1du.excl_2du;1du.excl_2pl;1du.excl_2sg;1du.excl_3du;1du.excl_3pl;1du.excl_3sg;1pl.excl_2du;1pl.excl_2pl;1pl.excl_2sg;1pl.excl_3du;1pl.excl_3pl;1pl.excl_3sg;1sg_2du;1sg_2pl;1sg_3du;1sg_3pl;1sg_3sg,1sg_2sg;1sg_3sg,neutral
achu1247-tska-2sgp-indexing-marker,achu1247,indexing marker,-tskà 2sgP,overt,person+number,deangulo1930achumawi[89],AN;AWM,NONE,NONE,2sg_1sg;2sg_3sg,accusative
achu1247-u-3pls-a-indexing-marker,achu1247,indexing marker,-ú 3plS/A,overt,person+number,deangulo1930achumawi[89],AN;AWM,3pl,3pl_1du.excl;3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg;3pl_3du;3pl_3pl;3pl_3sg,NONE,accusative
achu1247-y-3s-a-indexing-marker,achu1247,indexing marker,y- 3S/A,overt,person,deangulo1930achumawi[89],AN;AWM,3du;3pl;3sg,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg;3pl_1du.excl;3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg;3pl_3du;3pl_3pl;3pl_3sg;3sg_1du.excl;3sg_1du.incl;3sg_1pl.excl;3sg_1pl.incl;3sg_1sg;3sg_2du;3sg_2pl;3sg_3du;3sg_3pl;3sg_3sg,NONE,accusative
agua1253-acc-case-flagging,agua1253,flagging,ACC case,overt,,overall2017aguaruna[233-282],AWM; DI; NCP,NONE,NONE,1plPro_2plPro;1plPro_2sgPro;1plPro_3plPro;1plPro_3sgPro;1plPro_Noun;1sgPro_2plPro;1sgPro_2sgPro;1sgPro_3plPro;1sgPro_3sgPro;1sgPro_Noun;2plPro_1plPro;2plPro_1sgPro;2plPro_3plPro;2plPro_3sgPro;2plPro_Noun;2sgPro_1plPro;2sgPro_1sgPro;2sgPro_3plPro;2sgPro_3sgPro;2sgPro_Noun;3plPro_1sgPro;3plPro_3plPro;3plPro_3sgPro;3plPro_Noun;3sgPro_1sgPro;3sgPro_3plPro;3sgPro_3sgPro;3sgPro_Noun;Noun_1sgPro;Noun_3plPro;Noun_3sgPro;Noun_Noun,accusative
agua1253-no-flagging,agua1253,flagging,NO_FLAGGING,zero,,overall2017aguaruna[233-282],AWM; DI; NCP,1plPro;1sgPro;2plPro;2sgPro;3plPro;3sgPro;Noun,1plPro_2plPro;1plPro_2sgPro;1plPro_3plPro;1plPro_3sgPro;1plPro_Noun;1sgPro_2plPro;1sgPro_2sgPro;1sgPro_3plPro;1sgPro_3sgPro;1sgPro_Noun;2plPro_1plPro;2plPro_1sgPro;2plPro_3plPro;2plPro_3sgPro;2plPro_Noun;2sgPro_1plPro;2sgPro_1sgPro;2sgPro_3plPro;2sgPro_3sgPro;2sgPro_Noun;3plPro_1plPro;3plPro_1sgPro;3plPro_2plPro;3plPro_2sgPro;3plPro_3plPro;3plPro_3sgPro;3plPro_Noun;3sgPro_1plPro;3sgPro_1sgPro;3sgPro_2plPro;3sgPro_2sgPro;3sgPro_3plPro;3sgPro_3sgPro;3sgPro_Noun;Noun_1plPro;Noun_1sgPro;Noun_2plPro;Noun_2sgPro;Noun_3plPro;Noun_3sgPro;Noun_Noun,3plPro_1plPro;3plPro_2plPro;3plPro_2sgPro;3sgPro_1plPro;3sgPro_2plPro;3sgPro_2sgPro;Noun_1plPro;Noun_2plPro;Noun_2sgPro,neutral
agua1253-slot-b-hama-pa-kahatu-1plp-ncas-indexing-marker,agua1253,indexing marker,slot B -hama/-pa/-kahatu/… '1plP' [NCAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,NONE,NONE,1pl_2pl;1pl_2sg;1pl_3pl;1pl_3sg;2pl_3pl;2pl_3sg;2sg_3pl;2sg_3sg,accusative
agua1253-slot-b-hu-tu-1sgp-ncas-indexing-marker,agua1253,indexing marker,slot B -hu/-tu '1sgP' [NCAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,NONE,NONE,1sg_2pl;1sg_2sg;1sg_3pl;1sg_3sg,accusative
agua1253-slot-f-ha-1sgs-a-cas-indexing-marker,agua1253,indexing marker,slot F -ha '1sgS/A' [CAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,1sg,1sg_3pl;1sg_3sg,NONE,accusative
agua1253-slot-f-hami-1sga-2sgp-cas-indexing-marker,agua1253,indexing marker,slot F -hamɨ (1sgA>2sgP) [CAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,NONE,1sg_2sg,2sg_1sg,horizontal
agua1253-slot-f-hi-1pls-a-cas-indexing-marker,agua1253,indexing marker,slot F -hi '1plS/A' [CAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,1pl,1pl_3pl;1pl_3sg,NONE,accusative
agua1253-slot-f-himi-1pla-2p-1sga-2plp-cas-indexing-marker,agua1253,indexing marker,"slot F -himɨ (1plA>2P, 1sgA>2plP) [CAS]",overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,NONE,1pl_2pl;1pl_2sg;1sg_2pl,2pl_1pl;2pl_1sg;2sg_1pl,horizontal
agua1253-slot-f-u-humi-2pls-a-ncas-indexing-marker,agua1253,indexing marker,slot F -(u)humi̵ '2plS/A' [NCAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,2pl,2pl_1pl;2pl_1sg;2pl_3pl;2pl_3sg,NONE,accusative
agua1253-slot-f-u-mi-2sgs-a-ncas-indexing-marker,agua1253,indexing marker,slot F -(u)mi̵ '2sgS/A' [NCAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,2sg,2sg_1pl;2sg_1sg;2sg_3pl;2sg_3sg,NONE,accusative
agua1253-slot-f-wa-3s-a-ncas-indexing-marker,agua1253,indexing marker,slot F -wa '3S/A' [NCAS],overt,person+number,overall2017aguaruna[233-272],MV; DI; AWM,3pl;3sg,3pl_1pl;3pl_1sg;3pl_2pl;3pl_2sg;3pl_3pl;3pl_3sg;3sg_1pl;3sg_1sg;3sg_2pl;3sg_2sg;3sg_3pl;3sg_3sg,NONE,accusative
ainu1240-ci-1pa-indexing-indexing-marker,ainu1240,indexing marker,ci- '1pA' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,NONE,1pl_3,NONE,ergative
ainu1240-e-2s-indexing-indexing-marker,ainu1240,indexing marker,e- '2s' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,2sg,2sg_3,2sg_3,neutral
ainu1240-eci-2p-2sp-indexing-indexing-marker,ainu1240,indexing marker,eci- '2p/2sP' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,2pl,2pl_1pl;2pl_1sg;2pl_3,2pl_1pl;2pl_1sg;2pl_3;2sg_1pl;2sg_1sg,neutral
ainu1240-en-1sp-indexing-indexing-marker,ainu1240,indexing marker,en- '1sP' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,NONE,NONE,1sg_2pl;1sg_2sg;1sg_3,accusative
ainu1240-indexing-as-1ps-indexing-marker,ainu1240,indexing marker,indexing =as '1pS',overt,person+number,bugaeva2012southern[472-473],AN; AWM,1pl,NONE,NONE,horizontal
ainu1240-ku-1s-indexing-indexing-marker,ainu1240,indexing marker,ku- '1s' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,1sg,1sg_3,NONE,accusative
ainu1240-no-flagging,ainu1240,flagging,NO_FLAGGING,zero,,tamura2000ainu[25-92],AWM,any,any,any,neutral
ainu1240-null-marker,ainu1240,indexing marker,NULL_MARKER,zero,person+number,bugaeva2012southern[472-473],AN; AWM,3,3,3,neutral
ainu1240-un-1plp-indexing-indexing-marker,ainu1240,indexing marker,un- '1plP' indexing,overt,person+number,bugaeva2012southern[472-473],AN; AWM,NONE,NONE,1pl_2pl;1pl_2sg;1pl_3,accusative
akab1249-acc-case-flagging,akab1249,flagging,ACC case,overt,,zamponi2020akabea[166-170],AWM,NONE,NONE,Pro,accusative
akab1249-no-flagging,akab1249,flagging,NO_FLAGGING,zero,,zamponi2020akabea[166-170],AWM,any,any,Noun,neutral
akab1249-role-not-marked,akab1249,indexing trigger,ROLE_NOT_MARKED,zero,NA,zamponi2020akabea[166-171],MV; DI; AWM,NONE,NONE,NONE,NA
alam1246-no-flagging,alam1246,flagging,NO_FLAGGING,zero,,bruce1984alamblak[2],AN,any,any,any,neutral
alam1246-p-marking-indexing-marker,alam1246,indexing marker,P marking,overt,person+number,bruce1984alamblak[147-148],AN,NONE,NONE,any,accusative
alam1246-role-not-marked,alam1246,indexing trigger,ROLE_NOT_MARKED,zero,NA,bruce1984alamblak[147-148],AN,NONE,NONE,any,NA
alam1246-s-a-marking-indexing-marker,alam1246,indexing marker,S/A marking,overt,person+number,bruce1984alamblak[147-148],AN,any,any,NONE,accusative
aleu1260-absolutive-flagging,aleu1260,flagging,absolutive,overt,,"bergsland1997aleut[126,47,54]",DI,Noun,Noun,Noun,neutral
aleu1260-chix-2pl-3-indexing-marker,aleu1260,indexing marker,-chix 2pl>3,overt,person+number,bergsland1981atkan[8-19],DI,NONE,2pl_3du;2pl_3pl;2pl_3sg,3du_2pl;3pl_2pl;3sg_2pl,horizontal
aleu1260-dix-2du-3-indexing-marker,aleu1260,indexing marker,-dix 2du>3,overt,person+number,bergsland1981atkan[8-19],DI,NONE,2du_3du;2du_3pl;2du_3sg,3du_2du;3pl_2du;3sg_2du,horizontal
aleu1260-kin-2sga-3dup-indexing-marker,aleu1260,indexing marker,-kin 2sgA>3duP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,2sg_3du,3du_2sg,horizontal
aleu1260-king-1sga-3dup-indexing-marker,aleu1260,indexing marker,-king 1sgA>3duP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,1sg_3du,3du_1sg,horizontal
aleu1260-kix-3-3du-indexing-marker,aleu1260,indexing marker,-kix 3>3du,overt,person+number,bergsland1981atkan[8-19],DI,NONE,3du_3du;3pl_3du;3sg_3du,3du_3du;3du_3pl;3du_3sg,horizontal
aleu1260-ng-1sga-3sgp-indexing-marker,aleu1260,indexing marker,-ng 1sgA>3sgP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,1sg_3sg,3sg_1sg,horizontal
aleu1260-ngin-mas-1pl-3-indexing-marker,aleu1260,indexing marker,-ngin/-mas 1pl>3,overt,person+number,bergsland1981atkan[8-19],DI,NONE,1pl_3du;1pl_3pl;1pl_3sg,3du_1pl;3pl_1pl;3sg_1pl,horizontal
aleu1260-ngis-3-3pl-indexing-marker,aleu1260,indexing marker,-ngis 3>3pl,overt,person+number,bergsland1981atkan[8-19],DI,NONE,3du_3pl;3pl_3pl;3sg_3pl,3pl_3du;3pl_3pl;3pl_3sg,horizontal
aleu1260-ning-1sga-3plp-indexing-marker,aleu1260,indexing marker,-ning 1sgA>3plP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,1sg_3pl,3pl_1sg,horizontal
aleu1260-no-flagging,aleu1260,flagging,NO_FLAGGING,zero,,bergsland1997aleut[56-58],DI,Pro,Pro,Pro,neutral
aleu1260-q-1sgs-a-indexing-marker,aleu1260,indexing marker,-q 1sgS/A,overt,person+number,bergsland1981atkan[8-19],DI,1sg,1sg_2du;1sg_2pl;1sg_2sg;1sg_3du;1sg_3pl;1sg_3sg,NONE,accusative
aleu1260-relative-flagging,aleu1260,flagging,relative,overt,,"bergsland1997aleut[126,47,54]",DI,NONE,Noun,NONE,ergative
aleu1260-s-1pl-s-a-indexing-marker,aleu1260,indexing marker,-s 1pl S/A,overt,person+number,bergsland1981atkan[8-19],DI,1pl,1pl_2du;1pl_2pl;1pl_2sg;1pl_3du;1pl_3pl;1pl_3sg,NONE,accusative
aleu1260-s-3pl-s-a-indexing-marker,aleu1260,indexing marker,-s 3pl S/A,overt,person+number,bergsland1981atkan[8-19],DI,3pl,3pl_1pl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg;3pl_3du;3pl_3pl;3pl_3sg,NONE,accusative
aleu1260-t-2sga-3plp-indexing-marker,aleu1260,indexing marker,-t 2sgA>3plP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,2sg_3pl,3pl_2sg,horizontal
aleu1260-v-3-3sg-indexing-marker,aleu1260,indexing marker,-V: 3>3sg,overt,person+number,bergsland1981atkan[8-19],DI,NONE,3du_3sg;3pl_3sg;3sg_3sg,3sg_3du;3sg_3pl;3sg_3sg,horizontal
aleu1260-vn-2sga-3sgp-indexing-marker,aleu1260,indexing marker,-Vn 2sgA>3sgP,overt,person+number,bergsland1981atkan[8-19],DI,NONE,2sg_3sg,3sg_2sg,horizontal
aleu1260-x-3du-s-a-indexing-marker,aleu1260,indexing marker,-x 3du S/A,overt,person+number,bergsland1981atkan[8-19],DI,3du,3du_1pl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg,NONE,accusative
aleu1260-x-3sg-s-a-indexing-marker,aleu1260,indexing marker,-x̌ 3sg S/A,overt,person+number,bergsland1981atkan[8-19],DI,3sg,3sg_1pl;3sg_1sg;3sg_2du;3sg_2pl;3sg_2sg;3sg_3du;3sg_3pl;3sg_3sg,NONE,accusative
aleu1260-xt-2sg-s-a-indexing-marker,aleu1260,indexing marker,-x̌t 2sg S/A,overt,person+number,bergsland1981atkan[8-19],DI,2sg,2sg_1pl;2sg_1sg;2sg_3du;2sg_3pl;2sg_3sg,NONE,accusative
aleu1260-xtxichix-2pl-s-a-indexing-marker,aleu1260,indexing marker,-x̌txichix 2pl S/A,overt,person+number,bergsland1981atkan[8-19],DI,2pl,2pl_1pl;2pl_1sg;2pl_3du;2pl_3pl;2pl_3sg,NONE,accusative
aleu1260-xtxidix-2du-s-a-indexing-marker,aleu1260,indexing marker,-x̌txidix 2du S/A,overt,person+number,bergsland1981atkan[8-19],DI,2du,2du_1pl;2du_1sg;2du_3du;2du_3pl;2du_3sg,NONE,accusative
alse1251-a-n-1sgs-a-indexing-marker,alse1251,indexing marker,-(a)n 1sgS/A,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,1sg,1sg_2du;1sg_2pl;1sg_2sg;1sg_3du;1sg_3pl,NONE,accusative
alse1251-a-nx-3p-indexing-marker,alse1251,indexing marker,-(a)nx 3P,overt,person,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,NONE,NONE,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg;3pl;3sg,accusative
alse1251-a-x-2sgs-a-indexing-marker,alse1251,indexing marker,-(a)x 2sgS/A,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,2sg,2sg,NONE,accusative
alse1251-a-x-3pl-s-a-p-indexing-marker,alse1251,indexing marker,-(a)x 3pl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,3pl,3pl_1du.excl;3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2du;3pl_2pl;3pl_2sg,NONE,accusative
alse1251-a-xan-1du-excl-s-a-p-indexing-marker,alse1251,indexing marker,-(a)xan 1du.excl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,1du.excl,1du.excl,1du.excl,neutral
alse1251-alx-3pl-a-p-indexing-marker,alse1251,indexing marker,-aʟx 3pl A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,NONE,3pl_3du;3pl_3pl;3pl_3sg,3pl,horizontal
alse1251-aux-3du-s-a-p-indexing-marker,alse1251,indexing marker,-aux 3du S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,3du,3du,3du_1du.excl;3du_1du.incl;3du_1pl.excl;3du_1pl.incl;3du_1sg;3du_2du;3du_2pl;3du_2sg;3du_3du;3du_3pl;3du_3sg,neutral
alse1251-discriminative-form-flagging,alse1251,flagging,discriminative form,overt,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",HT;AWM,NONE,1du.exclPro;1du.inclPro;1pl.exclPro;1pl.inclPro;1sgPro;2duPro;2plPro;2sgPro;3duPro;3plPro;3sgPro;Noun-low,NONE,ergative
alse1251-dxu-2p-indexing-marker,alse1251,indexing marker,-dxu 2P,overt,person,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,NONE,NONE,2du;2pl;2sg,accusative
alse1251-emtax-1p-indexing-marker,alse1251,indexing marker,-emtax 1P,overt,person,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,NONE,NONE,1du.excl;1du.incl;1pl.excl;1pl.incl;1sg,accusative
alse1251-l-1pl-excl-s-a-p-indexing-marker,alse1251,indexing marker,-’ʟ 1pl.excl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,1pl.excl,1pl.excl,1pl.excl,neutral
alse1251-l-1pl-incl-s-a-p-indexing-marker,alse1251,indexing marker,-ɫ 1pl.incl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,1pl.incl,1pl.incl,1pl.incl,neutral
alse1251-no-flagging,alse1251,flagging,NO_FLAGGING,zero,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",HT;AWM,1du.exclPro;1du.inclPro;1pl.exclPro;1pl.inclPro;1sgPro;2duPro;2plPro;2sgPro;3duPro;3plPro;3sgPro;Noun-high;Noun-low,Noun-high,2duPro;2plPro;2sgPro;Noun-high;Noun-low,neutral
alse1251-null-marker,alse1251,indexing marker,NULL_MARKER,zero,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,3sg,1sg_3sg;3sg,NONE,accusative
alse1251-objective-form-flagging,alse1251,flagging,objective form,overt,,"frachtenberg1918alsea[262,283,390-394,404,62-64]",HT;AWM,NONE,NONE,1du.exclPro;1du.inclPro;1pl.exclPro;1pl.inclPro;1sgPro;3duPro;3plPro;3sgPro,accusative
alse1251-p-2pl-s-a-p-indexing-marker,alse1251,indexing marker,-p 2pl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,2pl,2pl,2pl,neutral
alse1251-pst-2du-s-a-p-indexing-marker,alse1251,indexing marker,-pst 2du S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,2du,2du,2du,neutral
alse1251-st-1du-incl-s-a-p-indexing-marker,alse1251,indexing marker,-st 1du.incl S/A/P,overt,person+number,"frachtenberg1918alsea[127-129,132,135-136,138]",HT;AN,1du.incl,1du.incl,1du.incl,neutral
amar1274-acc-marking-ta-flagging,amar1274,flagging,ACC marking -ta,overt,,"chavez1984amarakaeri[165,253-254,432,441,492]",HT,NONE,NONE,any,accusative
amar1274-i-1sg-2sg-s-a-indexing-marker,amar1274,indexing marker,iʔ- 1sg/2sg S/A,overt,person+number,vanlinden2012morphology,HT; DI,1sg;2sg,1sg_3pl;1sg_3sg;2sg_3pl;2sg_3sg,NONE,accusative
amar1274-mbe-me-3sg-1-2sg-indexing-marker,amar1274,indexing marker,mbeʔ-/meʔ- 3sg>1/2sg,overt,person+number,vanlinden2012morphology,HT; DI,NONE,3sg_1sg;3sg_2sg,1sg_3sg;2sg_3sg,horizontal
amar1274-mbo-mo-2pl-indexing-marker,amar1274,indexing marker,mboʔ-/moʔ- 2pl,overt,person+number,vanlinden2012morphology,HT; DI,2pl,2pl_3pl;2pl_3sg,1pl_3pl;1pl_3sg;2pl_3pl;2pl_3sg;2sg_3pl,neutral
amar1274-men-3pl-1sg-indexing-marker,amar1274,indexing marker,men- 3pl>1sg,overt,person+number,vanlinden2012morphology,HT; DI,NONE,3pl_1sg,1sg_3pl,horizontal
amar1274-no-flagging,amar1274,flagging,NO_FLAGGING,zero,,"chavez1984amarakaeri[165,253-254,432,441,492]",HT,any,any,NONE,accusative
amar1274-nom-marking-a-flagging,amar1274,flagging,NOM marking -a,overt,,"chavez1984amarakaeri[165,253-254,432,441,492]",HT,any,any,NONE,accusative
amar1274-o-1pl-indexing-marker,amar1274,indexing marker,oʔ- 1pl,overt,person+number,vanlinden2012morphology,HT; DI,1pl,1pl_2sg;1pl_3pl;1pl_3sg;1sg_2sg,1pl_2sg;1sg_2sg,neutral
amar1274-o-ya-3sg-indexing-marker,amar1274,indexing marker,oʔ-/yaʔ- 3sg,overt,person+number,vanlinden2012morphology,HT; DI,3sg,3sg_3pl;3sg_3sg,NONE,accusative
amar1274-on-2pl-a-p-with-1-coarg-indexing-marker,amar1274,indexing marker,on- 2pl A/P with 1 coarg,overt,person+number,vanlinden2012morphology,HT; DI,NONE,2pl_1pl;2pl_1sg,2pl_1pl;2pl_1sg,horizontal
amar1274-on-y-an-d-3pl-indexing-marker,amar1274,indexing marker,on-/(y)an(d)- 3pl,overt,person+number,vanlinden2012morphology,HT; DI,3pl,3pl_3pl;3pl_3sg,NONE,accusative
ando1256-indexing-paradigm-rc-and-rp-indexing-marker,ando1256,indexing marker,indexing paradigm (rc and rp),overt,person+number,"landaburu1979andoke[179-180,211-213,217-219]",NCP;AWM,any,any,any,neutral
ando1256-no-flagging,ando1256,flagging,NO_FLAGGING,zero,,"landaburu1979andoke[107,156]",MV; NCP,Noun;Pro,Noun;Pro,Noun;Pro,neutral
ando1256-psa-agreement-paradigm-part-of-desinences-indexing-marker,ando1256,indexing marker,PSA agreement paradigm (part of désinences),overt,gender,"landaburu1979andoke[228-229,231-232]",NCP;AWM,any,any,any,neutral
ando1256-role-not-marked,ando1256,indexing trigger,ROLE_NOT_MARKED,zero,person+number,"landaburu1979andoke[179-180,211-213,217-219]",NCP;AWM,any,any,any,NA
apur1254-a-indexing-marker,apur1254,indexing marker,a-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,1pl,1pl,NONE,accusative
apur1254-hi-indexing-marker,apur1254,indexing marker,hĩ-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,2pl,2pl,NONE,accusative
apur1254-i-indexing-marker,apur1254,indexing marker,-i,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,2pl;2sg,NONE,2pl;2sg,ergative
apur1254-no-flagging,apur1254,flagging,NO_FLAGGING,zero,,"facundes2000apurina[149f,345-346]",DI,any,any,any,neutral
apur1254-no-indexing-marker,apur1254,indexing marker,-no,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,1sg,NONE,1sg,ergative
apur1254-nu-indexing-marker,apur1254,indexing marker,nu-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,1sg,1sg,NONE,accusative
apur1254-o-indexing-marker,apur1254,indexing marker,o-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,3sg.F,3sg.F,NONE,accusative
apur1254-pu-indexing-marker,apur1254,indexing marker,pu-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,2sg,2sg,NONE,accusative
apur1254-ro-indexing-marker,apur1254,indexing marker,-ro,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,3pl.F;3sg.F,NONE,3pl.F;3sg.F,ergative
apur1254-ru-indexing-marker,apur1254,indexing marker,-ru,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,3pl.M;3sg.M,NONE,3pl.M;3sg.M,ergative
apur1254-u-indexing-marker,apur1254,indexing marker,u-,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,3sg.M,3sg.M,NONE,accusative
apur1254-u-na-indexing-marker,apur1254,indexing marker,u-...-na,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,3pl.F;3pl.M,3pl.F;3pl.M,NONE,accusative
apur1254-wa-indexing-marker,apur1254,indexing marker,-wa,overt,person+number,"facundes2000apurina[271,278f,406]",MV; DI; AWM,1pl,NONE,1pl,ergative
ariz1237-an-1dua-indexing-marker,ariz1237,indexing marker,’án- 1duA,overt,person+number,zuniga2002inverse[184-187],DI,NONE,1du_3du-high;1du_3du-low;1du_3pl-high;1du_3pl-low;1du_3sg-high;1du_3sg-low,NONE,ergative
